Code;Année;Taux Chomage
FR-01;01/01/2010;6.72
FR-02;01/01/2010;12.47
FR-03;01/01/2010;9.15
FR-04;01/01/2010;9.62
FR-05;01/01/2010;7.67
FR-06;01/01/2010;8.42
FR-07;01/01/2010;9.27
FR-08;01/01/2010;10.85
FR-09;01/01/2010;10.3
FR-10;01/01/2010;9.25
FR-11;01/01/2010;11.97
FR-12;01/01/2010;6.32
FR-13;01/01/2010;11.35
FR-14;01/01/2010;8.85
FR-15;01/01/2010;5.6
FR-16;01/01/2010;9.02
FR-17;01/01/2010;9.57
FR-18;01/01/2010;9.00
FR-19;01/01/2010;6.4
FR-21;01/01/2010;7.62
FR-22;01/01/2010;7.57
FR-23;01/01/2010;8.42
FR-24;01/01/2010;9.02
FR-25;01/01/2010;9.15
FR-26;01/01/2010;9.57
FR-27;01/01/2010;9.25
FR-28;01/01/2010;8.45
FR-29;01/01/2010;7.95
FR-2A;01/01/2010;8.12
FR-2B;01/01/2010;8.85
FR-30;01/01/2010;11.8
FR-31;01/01/2010;9.2
FR-32;01/01/2010;6.75
FR-33;01/01/2010;8.97
FR-34;01/01/2010;12.32
FR-35;01/01/2010;7.05
FR-36;01/01/2010;8.1
FR-37;01/01/2010;7.92
FR-38;01/01/2010;7.8
FR-39;01/01/2010;7.45
FR-40;01/01/2010;7.97
FR-41;01/01/2010;7.97
FR-42;01/01/2010;9.02
FR-43;01/01/2010;7.07
FR-44;01/01/2010;8.05
FR-45;01/01/2010;8.4
FR-46;01/01/2010;8.17
FR-47;01/01/2010;9.25
FR-48;01/01/2010;4.92
FR-49;01/01/2010;8.07
FR-50;01/01/2010;7.77
FR-51;01/01/2010;8.4
FR-52;01/01/2010;8.72
FR-53;01/01/2010;6.17
FR-54;01/01/2010;8.95
FR-55;01/01/2010;9.62
FR-56;01/01/2010;8.05
FR-57;01/01/2010;9.67
FR-58;01/01/2010;9.07
FR-59;01/01/2010;12.4
FR-60;01/01/2010;9.25
FR-61;01/01/2010;8.62
FR-62;01/01/2010;12.00
FR-63;01/01/2010;8.27
FR-64;01/01/2010;7.72
FR-65;01/01/2010;9.87
FR-66;01/01/2010;12.05
FR-67;01/01/2010;8.12
FR-68;01/01/2010;8.87
FR-69;01/01/2010;8.42
FR-70;01/01/2010;8.45
FR-71;01/01/2010;8.57
FR-72;01/01/2010;8.62
FR-73;01/01/2010;7.57
FR-74;01/01/2010;7.3
FR-75;01/01/2010;8.07
FR-76;01/01/2010;10.22
FR-77;01/01/2010;7.02
FR-78;01/01/2010;6.57
FR-79;01/01/2010;6.95
FR-80;01/01/2010;10.87
FR-81;01/01/2010;9.75
FR-82;01/01/2010;9.65
FR-83;01/01/2010;9.72
FR-84;01/01/2010;10.85
FR-85;01/01/2010;7.42
FR-86;01/01/2010;8.02
FR-87;01/01/2010;8.4
FR-88;01/01/2010;9.97
FR-89;01/01/2010;8.77
FR-90;01/01/2010;10.25
FR-91;01/01/2010;6.57
FR-92;01/01/2010;7.1
FR-93;01/01/2010;11.12
FR-94;01/01/2010;7.75
FR-95;01/01/2010;9.00
FR-01;01/01/2011;6.32
FR-02;01/01/2011;12.62
FR-03;01/01/2011;9.17
FR-04;01/01/2011;9.9
FR-05;01/01/2011;8.05
FR-06;01/01/2011;8.62
FR-07;01/01/2011;9.25
FR-08;01/01/2011;10.72
FR-09;01/01/2011;10.57
FR-10;01/01/2011;9.77
FR-11;01/01/2011;12.22
FR-12;01/01/2011;6.25
FR-13;01/01/2011;11.55
FR-14;01/01/2011;8.82
FR-15;01/01/2011;5.82
FR-16;01/01/2011;9.17
FR-17;01/01/2011;9.32
FR-18;01/01/2011;9.07
FR-19;01/01/2011;6.65
FR-21;01/01/2011;7.42
FR-22;01/01/2011;7.65
FR-23;01/01/2011;8.87
FR-24;01/01/2011;9.4
FR-25;01/01/2011;8.37
FR-26;01/01/2011;9.55
FR-27;01/01/2011;9.22
FR-28;01/01/2011;8.35
FR-29;01/01/2011;7.82
FR-2A;01/01/2011;8.27
FR-2B;01/01/2011;9.05
FR-30;01/01/2011;11.82
FR-31;01/01/2011;9.17
FR-32;01/01/2011;6.87
FR-33;01/01/2011;9.12
FR-34;01/01/2011;12.57
FR-35;01/01/2011;6.87
FR-36;01/01/2011;8.05
FR-37;01/01/2011;7.75
FR-38;01/01/2011;7.6
FR-39;01/01/2011;6.72
FR-40;01/01/2011;8.12
FR-41;01/01/2011;7.77
FR-42;01/01/2011;8.9
FR-43;01/01/2011;7.17
FR-44;01/01/2011;7.6
FR-45;01/01/2011;8.37
FR-46;01/01/2011;8.55
FR-47;01/01/2011;9.12
FR-48;01/01/2011;5.22
FR-49;01/01/2011;7.92
FR-50;01/01/2011;7.72
FR-51;01/01/2011;8.5
FR-52;01/01/2011;8.5
FR-53;01/01/2011;5.72
FR-54;01/01/2011;8.85
FR-55;01/01/2011;9.45
FR-56;01/01/2011;7.87
FR-57;01/01/2011;9.35
FR-58;01/01/2011;9.1
FR-59;01/01/2011;12.2
FR-60;01/01/2011;9.00
FR-61;01/01/2011;8.45
FR-62;01/01/2011;12.1
FR-63;01/01/2011;8.05
FR-64;01/01/2011;7.65
FR-65;01/01/2011;9.92
FR-66;01/01/2011;12.47
FR-67;01/01/2011;7.8
FR-68;01/01/2011;8.65
FR-69;01/01/2011;8.3
FR-70;01/01/2011;8.27
FR-71;01/01/2011;8.42
FR-72;01/01/2011;8.35
FR-73;01/01/2011;7.27
FR-74;01/01/2011;6.67
FR-75;01/01/2011;7.85
FR-76;01/01/2011;10.17
FR-77;01/01/2011;7.00
FR-78;01/01/2011;6.45
FR-79;01/01/2011;6.67
FR-80;01/01/2011;10.72
FR-81;01/01/2011;10.00
FR-82;01/01/2011;9.82
FR-83;01/01/2011;9.97
FR-84;01/01/2011;11.32
FR-85;01/01/2011;7.05
FR-86;01/01/2011;7.85
FR-87;01/01/2011;8.55
FR-88;01/01/2011;10.00
FR-89;01/01/2011;8.75
FR-90;01/01/2011;9.42
FR-91;01/01/2011;6.5
FR-92;01/01/2011;7.00
FR-93;01/01/2011;11.32
FR-94;01/01/2011;7.85
FR-95;01/01/2011;9.00
FR-01;01/01/2012;6.85
FR-02;01/01/2012;13.67
FR-03;01/01/2012;9.82
FR-04;01/01/2012;10.62
FR-05;01/01/2012;8.57
FR-06;01/01/2012;9.32
FR-07;01/01/2012;10.02
FR-08;01/01/2012;11.82
FR-09;01/01/2012;11.55
FR-10;01/01/2012;10.77
FR-11;01/01/2012;13.02
FR-12;01/01/2012;6.82
FR-13;01/01/2012;11.85
FR-14;01/01/2012;9.4
FR-15;01/01/2012;6.47
FR-16;01/01/2012;10.05
FR-17;01/01/2012;9.85
FR-18;01/01/2012;9.72
FR-19;01/01/2012;7.52
FR-21;01/01/2012;8.1
FR-22;01/01/2012;8.25
FR-23;01/01/2012;9.42
FR-24;01/01/2012;10.3
FR-25;01/01/2012;8.9
FR-26;01/01/2012;10.32
FR-27;01/01/2012;10.07
FR-28;01/01/2012;9.07
FR-29;01/01/2012;8.5
FR-2A;01/01/2012;8.67
FR-2B;01/01/2012;9.42
FR-30;01/01/2012;12.57
FR-31;01/01/2012;9.72
FR-32;01/01/2012;7.35
FR-33;01/01/2012;9.62
FR-34;01/01/2012;13.47
FR-35;01/01/2012;7.75
FR-36;01/01/2012;8.82
FR-37;01/01/2012;8.42
FR-38;01/01/2012;8.05
FR-39;01/01/2012;7.07
FR-40;01/01/2012;8.8
FR-41;01/01/2012;8.37
FR-42;01/01/2012;9.52
FR-43;01/01/2012;7.9
FR-44;01/01/2012;7.97
FR-45;01/01/2012;9.17
FR-46;01/01/2012;9.17
FR-47;01/01/2012;9.72
FR-48;01/01/2012;5.65
FR-49;01/01/2012;8.65
FR-50;01/01/2012;7.97
FR-51;01/01/2012;9.25
FR-52;01/01/2012;9.22
FR-53;01/01/2012;6.4
FR-54;01/01/2012;9.52
FR-55;01/01/2012;10.12
FR-56;01/01/2012;8.47
FR-57;01/01/2012;9.9
FR-58;01/01/2012;9.7
FR-59;01/01/2012;12.8
FR-60;01/01/2012;9.65
FR-61;01/01/2012;9.00
FR-62;01/01/2012;12.92
FR-63;01/01/2012;8.4
FR-64;01/01/2012;8.15
FR-65;01/01/2012;10.75
FR-66;01/01/2012;13.75
FR-67;01/01/2012;8.3
FR-68;01/01/2012;9.35
FR-69;01/01/2012;8.85
FR-70;01/01/2012;9.37
FR-71;01/01/2012;8.95
FR-72;01/01/2012;9.07
FR-73;01/01/2012;7.6
FR-74;01/01/2012;7.12
FR-75;01/01/2012;8.02
FR-76;01/01/2012;10.77
FR-77;01/01/2012;7.5
FR-78;01/01/2012;6.82
FR-79;01/01/2012;7.35
FR-80;01/01/2012;11.62
FR-81;01/01/2012;10.57
FR-82;01/01/2012;10.37
FR-83;01/01/2012;10.4
FR-84;01/01/2012;12.00
FR-85;01/01/2012;7.67
FR-86;01/01/2012;8.2
FR-87;01/01/2012;9.17
FR-88;01/01/2012;11.05
FR-89;01/01/2012;9.5
FR-90;01/01/2012;10.65
FR-91;01/01/2012;6.9
FR-92;01/01/2012;7.4
FR-93;01/01/2012;12.05
FR-94;01/01/2012;8.22
FR-95;01/01/2012;9.45
FR-01;01/01/2015;7.35
FR-02;01/01/2015;13.85
FR-03;01/01/2015;10.57
FR-04;01/01/2015;11.32
FR-05;01/01/2015;9.45
FR-06;01/01/2015;10.52
FR-07;01/01/2015;10.7
FR-08;01/01/2015;12.47
FR-09;01/01/2015;12.27
FR-10;01/01/2015;12.72
FR-11;01/01/2015;14.2
FR-12;01/01/2015;7.45
FR-13;01/01/2015;12.02
FR-14;01/01/2015;9.87
FR-15;01/01/2015;6.52
FR-16;01/01/2015;10.07
FR-17;01/01/2015;10.7
FR-18;01/01/2015;10.47
FR-19;01/01/2015;8.22
FR-21;01/01/2015;8.8
FR-22;01/01/2015;9.15
FR-23;01/01/2015;9.55
FR-24;01/01/2015;10.67
FR-25;01/01/2015;9.5
FR-26;01/01/2015;11.17
FR-27;01/01/2015;10.37
FR-28;01/01/2015;9.65
FR-29;01/01/2015;9.22
FR-2A;01/01/2015;9.7
FR-2B;01/01/2015;11.1
FR-30;01/01/2015;13.82
FR-31;01/01/2015;10.6
FR-32;01/01/2015;8.27
FR-33;01/01/2015;10.27
FR-34;01/01/2015;14.07
FR-35;01/01/2015;8.2
FR-36;01/01/2015;9.67
FR-37;01/01/2015;9.27
FR-38;01/01/2015;8.6
FR-39;01/01/2015;7.75
FR-40;01/01/2015;9.6
FR-41;01/01/2015;9.02
FR-42;01/01/2015;10.22
FR-43;01/01/2015;8.4
FR-44;01/01/2015;8.82
FR-45;01/01/2015;10.07
FR-46;01/01/2015;9.17
FR-47;01/01/2015;10.3
FR-48;01/01/2015;6.45
FR-49;01/01/2015;9.57
FR-50;01/01/2015;8.32
FR-51;01/01/2015;10.00
FR-52;01/01/2015;9.8
FR-53;01/01/2015;7.07
FR-54;01/01/2015;10.12
FR-55;01/01/2015;10.12
FR-56;01/01/2015;9.4
FR-57;01/01/2015;10.6
FR-58;01/01/2015;9.75
FR-59;01/01/2015;13.02
FR-60;01/01/2015;10.15
FR-61;01/01/2015;9.47
FR-62;01/01/2015;13.02
FR-63;01/01/2015;8.92
FR-64;01/01/2015;8.65
FR-65;01/01/2015;11.45
FR-66;01/01/2015;15.32
FR-67;01/01/2015;8.97
FR-68;01/01/2015;9.97
FR-69;01/01/2015;9.3
FR-70;01/01/2015;9.75
FR-71;01/01/2015;9.3
FR-72;01/01/2015;10.12
FR-73;01/01/2015;8.2
FR-74;01/01/2015;7.62
FR-75;01/01/2015;8.2
FR-76;01/01/2015;11.22
FR-77;01/01/2015;8.17
FR-78;01/01/2015;7.45
FR-79;01/01/2015;7.97
FR-80;01/01/2015;12.02
FR-81;01/01/2015;11.05
FR-82;01/01/2015;11.6
FR-83;01/01/2015;11.1
FR-84;01/01/2015;12.95
FR-85;01/01/2015;8.42
FR-86;01/01/2015;8.55
FR-87;01/01/2015;9.8
FR-88;01/01/2015;11.72
FR-89;01/01/2015;9.87
FR-90;01/01/2015;11.5
FR-91;01/01/2015;7.7
FR-92;01/01/2015;7.85
FR-93;01/01/2015;13.1
FR-94;01/01/2015;9.00
FR-95;01/01/2015;10.27
FR-01;01/01/2016;7.35
FR-02;01/01/2016;13.62
FR-03;01/01/2016;10.35
FR-04;01/01/2016;11.05
FR-05;01/01/2016;9.25
FR-06;01/01/2016;10.32
FR-07;01/01/2016;10.65
FR-08;01/01/2016;11.97
FR-09;01/01/2016;11.97
FR-10;01/01/2016;12.62
FR-11;01/01/2016;13.55
FR-12;01/01/2016;7.32
FR-13;01/01/2016;11.72
FR-14;01/01/2016;9.4
FR-15;01/01/2016;6.25
FR-16;01/01/2016;9.72
FR-17;01/01/2016;10.25
FR-18;01/01/2016;10.37
FR-19;01/01/2016;8.17
FR-21;01/01/2016;8.5
FR-22;01/01/2016;9.00
FR-23;01/01/2016;9.12
FR-24;01/01/2016;10.3
FR-25;01/01/2016;9.12
FR-26;01/01/2016;10.92
FR-27;01/01/2016;10.27
FR-28;01/01/2016;9.47
FR-29;01/01/2016;8.97
FR-2A;01/01/2016;9.4
FR-2B;01/01/2016;10.57
FR-30;01/01/2016;13.32
FR-31;01/01/2016;10.12
FR-32;01/01/2016;8.02
FR-33;01/01/2016;9.97
FR-34;01/01/2016;13.67
FR-35;01/01/2016;7.9
FR-36;01/01/2016;9.77
FR-37;01/01/2016;9.12
FR-38;01/01/2016;8.4
FR-39;01/01/2016;7.52
FR-40;01/01/2016;9.42
FR-41;01/01/2016;8.7
FR-42;01/01/2016;9.97
FR-43;01/01/2016;8.25
FR-44;01/01/2016;8.3
FR-45;01/01/2016;9.9
FR-46;01/01/2016;9.07
FR-47;01/01/2016;10.17
FR-48;01/01/2016;6.32
FR-49;01/01/2016;9.25
FR-50;01/01/2016;7.97
FR-51;01/01/2016;9.55
FR-52;01/01/2016;9.42
FR-53;01/01/2016;6.75
FR-54;01/01/2016;9.85
FR-55;01/01/2016;9.75
FR-56;01/01/2016;9.07
FR-57;01/01/2016;10.12
FR-58;01/01/2016;9.35
FR-59;01/01/2016;12.6
FR-60;01/01/2016;9.95
FR-61;01/01/2016;9.3
FR-62;01/01/2016;12.42
FR-63;01/01/2016;8.75
FR-64;01/01/2016;8.27
FR-65;01/01/2016;11.2
FR-66;01/01/2016;15.17
FR-67;01/01/2016;8.75
FR-68;01/01/2016;9.8
FR-69;01/01/2016;9.00
FR-70;01/01/2016;9.2
FR-71;01/01/2016;9.02
FR-72;01/01/2016;9.75
FR-73;01/01/2016;7.95
FR-74;01/01/2016;7.42
FR-75;01/01/2016;7.85
FR-76;01/01/2016;11.25
FR-77;01/01/2016;7.95
FR-78;01/01/2016;7.4
FR-79;01/01/2016;7.85
FR-80;01/01/2016;11.97
FR-81;01/01/2016;10.65
FR-82;01/01/2016;11.5
FR-83;01/01/2016;10.77
FR-84;01/01/2016;12.8
FR-85;01/01/2016;7.85
FR-86;01/01/2016;8.4
FR-87;01/01/2016;9.5
FR-88;01/01/2016;10.97
FR-89;01/01/2016;9.57
FR-90;01/01/2016;10.85
FR-91;01/01/2016;7.65
FR-92;01/01/2016;7.55
FR-93;01/01/2016;12.72
FR-94;01/01/2016;8.82
FR-95;01/01/2016;10.07
FR-01;01/01/2017;6.72
FR-02;01/01/2017;12.97
FR-03;01/01/2017;9.72
FR-04;01/01/2017;10.7
FR-05;01/01/2017;8.7
FR-06;01/01/2017;9.82
FR-07;01/01/2017;10.05
FR-08;01/01/2017;11.05
FR-09;01/01/2017;11.47
FR-10;01/01/2017;11.92
FR-11;01/01/2017;12.65
FR-12;01/01/2017;6.92
FR-13;01/01/2017;11.27
FR-14;01/01/2017;8.7
FR-15;01/01/2017;5.65
FR-16;01/01/2017;8.92
FR-17;01/01/2017;9.47
FR-18;01/01/2017;9.72
FR-19;01/01/2017;7.45
FR-21;01/01/2017;7.8
FR-22;01/01/2017;8.32
FR-23;01/01/2017;8.52
FR-24;01/01/2017;9.65
FR-25;01/01/2017;8.25
FR-26;01/01/2017;10.12
FR-27;01/01/2017;9.52
FR-28;01/01/2017;8.87
FR-29;01/01/2017;8.2
FR-2A;01/01/2017;9.1
FR-2B;01/01/2017;9.8
FR-30;01/01/2017;12.52
FR-31;01/01/2017;9.2
FR-32;01/01/2017;7.2
FR-33;01/01/2017;9.37
FR-34;01/01/2017;12.95
FR-35;01/01/2017;7.2
FR-36;01/01/2017;9.12
FR-37;01/01/2017;8.5
FR-38;01/01/2017;7.82
FR-39;01/01/2017;6.85
FR-40;01/01/2017;9.02
FR-41;01/01/2017;8.00
FR-42;01/01/2017;9.2
FR-43;01/01/2017;7.4
FR-44;01/01/2017;7.57
FR-45;01/01/2017;9.05
FR-46;01/01/2017;8.77
FR-47;01/01/2017;9.25
FR-48;01/01/2017;5.95
FR-49;01/01/2017;8.47
FR-50;01/01/2017;7.22
FR-51;01/01/2017;8.82
FR-52;01/01/2017;8.55
FR-53;01/01/2017;6.17
FR-54;01/01/2017;9.25
FR-55;01/01/2017;9.02
FR-56;01/01/2017;8.37
FR-57;01/01/2017;9.55
FR-58;01/01/2017;8.4
FR-59;01/01/2017;12.17
FR-60;01/01/2017;9.4
FR-61;01/01/2017;8.62
FR-62;01/01/2017;11.5
FR-63;01/01/2017;8.15
FR-64;01/01/2017;7.82
FR-65;01/01/2017;10.27
FR-66;01/01/2017;14.32
FR-67;01/01/2017;8.1
FR-68;01/01/2017;9.00
FR-69;01/01/2017;8.37
FR-70;01/01/2017;8.55
FR-71;01/01/2017;8.3
FR-72;01/01/2017;8.97
FR-73;01/01/2017;7.3
FR-74;01/01/2017;6.82
FR-75;01/01/2017;7.37
FR-76;01/01/2017;10.6
FR-77;01/01/2017;7.5
FR-78;01/01/2017;7.00
FR-79;01/01/2017;7.2
FR-80;01/01/2017;11.22
FR-81;01/01/2017;10.02
FR-82;01/01/2017;10.8
FR-83;01/01/2017;10.17
FR-84;01/01/2017;11.97
FR-85;01/01/2017;7.12
FR-86;01/01/2017;7.62
FR-87;01/01/2017;8.67
FR-88;01/01/2017;10.00
FR-89;01/01/2017;8.72
FR-90;01/01/2017;9.55
FR-91;01/01/2017;7.22
FR-92;01/01/2017;7.07
FR-93;01/01/2017;12.00
FR-94;01/01/2017;8.37
FR-95;01/01/2017;9.52
FR-01;01/01/2020;6.00
FR-02;01/01/2020;11.1
FR-03;01/01/2020;8.6
FR-04;01/01/2020;9.4
FR-05;01/01/2020;7.5
FR-06;01/01/2020;8.9
FR-07;01/01/2020;8.7
FR-08;01/01/2020;9.6
FR-09;01/01/2020;9.9
FR-10;01/01/2020;9.9
FR-11;01/01/2020;10.5
FR-12;01/01/2020;6.00
FR-13;01/01/2020;9.3
FR-14;01/01/2020;7.4
FR-15;01/01/2020;4.7
FR-16;01/01/2020;7.8
FR-17;01/01/2020;8.3
FR-18;01/01/2020;8.00
FR-19;01/01/2020;6.5
FR-21;01/01/2020;6.1
FR-22;01/01/2020;7.00
FR-23;01/01/2020;7.2
FR-24;01/01/2020;8.1
FR-25;01/01/2020;7.4
FR-26;01/01/2020;8.6
FR-27;01/01/2020;8.1
FR-28;01/01/2020;7.4
FR-29;01/01/2020;6.9
FR-2A;01/01/2020;7.7
FR-2B;01/01/2020;8.2
FR-30;01/01/2020;10.8
FR-31;01/01/2020;7.9
FR-32;01/01/2020;5.9
FR-33;01/01/2020;7.6
FR-34;01/01/2020;11.2
FR-35;01/01/2020;6.4
FR-36;01/01/2020;7.8
FR-37;01/01/2020;7.2
FR-38;01/01/2020;6.6
FR-39;01/01/2020;5.7
FR-40;01/01/2020;7.8
FR-41;01/01/2020;6.5
FR-42;01/01/2020;7.9
FR-43;01/01/2020;6.3
FR-44;01/01/2020;6.8
FR-45;01/01/2020;7.6
FR-46;01/01/2020;7.9
FR-47;01/01/2020;7.9
FR-48;01/01/2020;5.00
FR-49;01/01/2020;7.4
FR-50;01/01/2020;6.00
FR-51;01/01/2020;7.5
FR-52;01/01/2020;6.9
FR-53;01/01/2020;5.6
FR-54;01/01/2020;7.6
FR-55;01/01/2020;7.3
FR-56;01/01/2020;6.9
FR-57;01/01/2020;7.7
FR-58;01/01/2020;6.5
FR-59;01/01/2020;10.00
FR-60;01/01/2020;8.1
FR-61;01/01/2020;7.4
FR-62;01/01/2020;9.4
FR-63;01/01/2020;6.9
FR-64;01/01/2020;6.7
FR-65;01/01/2020;9.2
FR-66;01/01/2020;12.5
FR-67;01/01/2020;6.9
FR-68;01/01/2020;8.00
FR-69;01/01/2020;7.3
FR-70;01/01/2020;7.1
FR-71;01/01/2020;7.00
FR-72;01/01/2020;8.1
FR-73;01/01/2020;6.4
FR-74;01/01/2020;6.4
FR-75;01/01/2020;6.4
FR-76;01/01/2020;9.00
FR-77;01/01/2020;7.00
FR-78;01/01/2020;6.4
FR-79;01/01/2020;5.9
FR-80;01/01/2020;9.3
FR-81;01/01/2020;8.1
FR-82;01/01/2020;9.00
FR-83;01/01/2020;8.5
FR-84;01/01/2020;10.2
FR-85;01/01/2020;6.5
FR-86;01/01/2020;6.5
FR-87;01/01/2020;7.3
FR-88;01/01/2020;8.4
FR-89;01/01/2020;7.2
FR-90;01/01/2020;8.4
FR-91;01/01/2020;7.2
FR-92;01/01/2020;8.9
FR-93;01/01/2020;6.7
FR-94;01/01/2020;7.4
FR-95;01/01/2020;8.5
FR-01;01/01/2021;6.1
FR-02;01/01/2021;11.5
FR-03;01/01/2021;8.5
FR-04;01/01/2021;9.2
FR-05;01/01/2021;7.3
FR-06;01/01/2021;8.8
FR-07;01/01/2021;9.00
FR-08;01/01/2021;9.8
FR-09;01/01/2021;10.00
FR-10;01/01/2021;10.2
FR-11;01/01/2021;10.8
FR-12;01/01/2021;6.1
FR-13;01/01/2021;9.4
FR-14;01/01/2021;7.2
FR-15;01/01/2021;4.3
FR-16;01/01/2021;7.8
FR-17;01/01/2021;8.1
FR-18;01/01/2021;8.00
FR-19;01/01/2021;6.6
FR-21;01/01/2021;6.00
FR-22;01/01/2021;7.00
FR-23;01/01/2021;7.4
FR-24;01/01/2021;8.00
FR-25;01/01/2021;7.4
FR-26;01/01/2021;8.9
FR-27;01/01/2021;8.1
FR-28;01/01/2021;7.2
FR-29;01/01/2021;6.8
FR-2A;01/01/2021;6.7
FR-2B;01/01/2021;7.7
FR-30;01/01/2021;11.00
FR-31;01/01/2021;8.1
FR-32;01/01/2021;6.1
FR-33;01/01/2021;7.4
FR-34;01/01/2021;11.2
FR-35;01/01/2021;5.8
FR-36;01/01/2021;7.7
FR-37;01/01/2021;7.00
FR-38;01/01/2021;6.6
FR-39;01/01/2021;5.5
FR-40;01/01/2021;7.8
FR-41;01/01/2021;6.5
FR-42;01/01/2021;7.9
FR-43;01/01/2021;6.2
FR-44;01/01/2021;6.6
FR-45;01/01/2021;7.5
FR-46;01/01/2021;8.00
FR-47;01/01/2021;8.00
FR-48;01/01/2021;5.1
FR-49;01/01/2021;7.2
FR-50;01/01/2021;5.7
FR-51;01/01/2021;7.6
FR-52;01/01/2021;6.9
FR-53;01/01/2021;5.3
FR-54;01/01/2021;7.8
FR-55;01/01/2021;8.00
FR-56;01/01/2021;6.7
FR-57;01/01/2021;8.00
FR-58;01/01/2021;6.7
FR-59;01/01/2021;10.1
FR-60;01/01/2021;8.2
FR-61;01/01/2021;7.5
FR-62;01/01/2021;9.4
FR-63;01/01/2021;7.00
FR-64;01/01/2021;6.5
FR-65;01/01/2021;9.2
FR-66;01/01/2021;12.5
FR-67;01/01/2021;6.9
FR-68;01/01/2021;8.1
FR-69;01/01/2021;7.2
FR-70;01/01/2021;7.00
FR-71;01/01/2021;6.8
FR-72;01/01/2021;8.00
FR-73;01/01/2021;5.9
FR-74;01/01/2021;6.4
FR-75;01/01/2021;7.00
FR-76;01/01/2021;8.9
FR-77;01/01/2021;7.4
FR-78;01/01/2021;6.8
FR-79;01/01/2021;5.8
FR-80;01/01/2021;5.8
FR-81;01/01/2021;8.3
FR-82;01/01/2021;9.3
FR-83;01/01/2021;8.5
FR-84;01/01/2021;10.5
FR-85;01/01/2021;6.00
FR-86;01/01/2021;6.5
FR-87;01/01/2021;7.2
FR-88;01/01/2021;8.5
FR-89;01/01/2021;7.4
FR-90;01/01/2021;9.2
FR-91;01/01/2021;7.1
FR-92;01/01/2021;6.6
FR-93;01/01/2021;11.00
FR-94;01/01/2021;7.8
FR-95;01/01/2021;9.00
FR-01;01/01/2022;5.5
FR-02;01/01/2022;10.6
FR-03;01/01/2022;7.7
FR-04;01/01/2022;8.3
FR-05;01/01/2022;7.1
FR-06;01/01/2022;7.6
FR-07;01/01/2022;8.2
FR-08;01/01/2022;9.5
FR-09;01/01/2022;9.3
FR-10;01/01/2022;9.7
FR-11;01/01/2022;10.2
FR-12;01/01/2022;5.6
FR-13;01/01/2022;8.8
FR-14;01/01/2022;6.3
FR-15;01/01/2022;4.00
FR-16;01/01/2022;7.00
FR-17;01/01/2022;7.1
FR-18;01/01/2022;7.5
FR-19;01/01/2022;6.00
FR-21;01/01/2022;6.1
FR-22;01/01/2022;6.5
FR-23;01/01/2022;5.5
FR-24;01/01/2022;6.3
FR-25;01/01/2022;7.1
FR-26;01/01/2022;7.2
FR-27;01/01/2022;6.6
FR-28;01/01/2022;7.9
FR-29;01/01/2022;7.1
FR-2A;01/01/2022;6.7
FR-2B;01/01/2022;6.2
FR-30;01/01/2022;10.00
FR-31;01/01/2022;7.5
FR-32;01/01/2022;5.7
FR-33;01/01/2022;6.7
FR-34;01/01/2022;10.2
FR-35;01/01/2022;5.3
FR-36;01/01/2022;7.1
FR-37;01/01/2022;6.4
FR-38;01/01/2022;6.00
FR-39;01/01/2022;5.00
FR-40;01/01/2022;6.9
FR-41;01/01/2022;6.00
FR-42;01/01/2022;7.1
FR-43;01/01/2022;5.6
FR-44;01/01/2022;5.8
FR-45;01/01/2022;7.00
FR-46;01/01/2022;7.2
FR-47;01/01/2022;7.5
FR-48;01/01/2022;4.7
FR-49;01/01/2022;6.4
FR-50;01/01/2022;5.1
FR-51;01/01/2022;7.1
FR-52;01/01/2022;6.2
FR-53;01/01/2022;4.9
FR-54;01/01/2022;7.00
FR-55;01/01/2022;7.2
FR-56;01/01/2022;5.9
FR-57;01/01/2022;7.3
FR-58;01/01/2022;6.5
FR-59;01/01/2022;9.2
FR-60;01/01/2022;7.3
FR-61;01/01/2022;6.5
FR-62;01/01/2022;8.2
FR-63;01/01/2022;6.2
FR-64;01/01/2022;5.8
FR-65;01/01/2022;8.00
FR-66;01/01/2022;11.7
FR-67;01/01/2022;6.2
FR-68;01/01/2022;7.00
FR-69;01/01/2022;6.5
FR-70;01/01/2022;6.4
FR-71;01/01/2022;6.2
FR-72;01/01/2022;7.2
FR-73;01/01/2022;5.5
FR-74;01/01/2022;5.7
FR-75;01/01/2022;5.9
FR-76;01/01/2022;7.9
FR-77;01/01/2022;6.8
FR-78;01/01/2022;6.4
FR-79;01/01/2022;5.3
FR-80;01/01/2022;8.6
FR-81;01/01/2022;7.8
FR-82;01/01/2022;8.7
FR-83;01/01/2022;7.5
FR-84;01/01/2022;9.5
FR-85;01/01/2022;5.3
FR-86;01/01/2022;5.9
FR-87;01/01/2022;6.5
FR-88;01/01/2022;7.4
FR-89;01/01/2022;6.6
FR-90;01/01/2022;8.2
FR-91;01/01/2022;6.3
FR-92;01/01/2022;6.00
FR-93;01/01/2022;10.3
FR-94;01/01/2022;7.2
FR-95;01/01/2022;8.1
